Название,Тип,Подтип,Материал,Стиль,Ш,Г,В,Цвет,Ссылка
OM Диван Кембридж лиловый велюр,Мебель,Диваны,Ткань,Классический,150 см,82 см,93 см,"rgb(255, 202, 218)",https://3ddd.ru/3dmodels/show/om_divan_kembridzh_lilovyi_veliur
OM Диван Benji прямой синий,Мебель,Диваны,Ткань,Современный,220 см,90 см,75 см,"rgb(38, 80, 218)",https://3ddd.ru/3dmodels/show/om_divan_benji_priamoi_sinii
OM Диван Penelope Sofa прямой розовый,Мебель,Диваны,Ткань,Современный,218 см,91 см,74 см,"rgb(255, 202, 218)",https://3ddd.ru/3dmodels/show/om_divan_penelope_sofa_priamoi_rozovyi
OM Диван Vierra двухместный прямой коричневый,Мебель,Диваны,Ткань,Современный,150 см,85 см,67 см,"rgb(120, 60, 0)",https://3ddd.ru/3dmodels/show/om_divan_vierra_dvukhmestnyi_priamoi_korichnevyi
OM Диван Jack 2 трехместный прямой синий,Мебель,Диваны,Ткань,Современный,220 см,90 см,78 см,"rgb(38, 80, 218)",https://3ddd.ru/3dmodels/show/om_divan_jack_2_trekhmestnyi_priamoi_sinii
ОМ - Пуф Лаппхунд,Мебель,Другая мягкая мебель,Мех,Современный,400 см,400 см,480 см,,https://3ddd.ru/3dmodels/show/om_puf_lappkhund
Пуф Lull,Мебель,Другая мягкая мебель,Ткань,Современный,96 см,96 см,42 см,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/puf_lull
OM Банкетка Candy,Мебель,Другая мягкая мебель,"Металл, Дерево",Современный,,,,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/om_banketka_candy
ОМ Кушетка Azarova Home Stolz,Мебель,Другая мягкая мебель,"Дерево, Кожа",Современный,170 см,80 см,45 см,"rgb(0, 0, 0)",https://3ddd.ru/3dmodels/show/om_kushetka_azarova_home_stolz
Пуф,Мебель,Другая мягкая мебель,"Дерево, Ткань",Классический,55 см,42 см,48 см,"rgb(234, 214, 189)",https://3ddd.ru/3dmodels/show/puf_346
Скамья с зонтницей Ньюхэван в стиле лофт,Мебель,Другое,"Металл, Дерево",Современный,120 см,35 см,45 см,"rgb(0, 0, 0)",https://3ddd.ru/3dmodels/show/skamia_s_zontnitsei_niukhevan_v_stile_loft
Табурет LoftDesigne 1570 model,Мебель,Другое,Дерево,Этнический,30 см,30 см,45.5 см,"rgb(234, 214, 189)",https://3ddd.ru/3dmodels/show/taburet_loftdesigne_1570_model
Табурет LoftDesigne 1569 model,Мебель,Другое,Дерево,Этнический,35 см,35 см,45 см,"rgb(120, 60, 0)",https://3ddd.ru/3dmodels/show/taburet_loftdesigne_1569_model
ОМ Klassik Bookcase,Мебель,Другое,Металл,Классический,,,,"rgb(120, 60, 0)",https://3ddd.ru/3dmodels/show/om_klassik_bookcase
OM Угловые полки Steel House для ванной,Мебель,Другое,Металл,Современный,,,,"rgb(0, 0, 0)",https://3ddd.ru/3dmodels/show/om_uglovye_polki_steel_house_dlia_vannoi_1
OM Консоль Candy,Мебель,Консоль,"Металл, Дерево",Классический,,,,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/om_konsol_candy
Консоль LoftDesigne 80584 model,Мебель,Консоль,Дерево,Этнический,142 см,55 см,78.5 см,"rgb(234, 214, 189)",https://3ddd.ru/3dmodels/show/konsol_loftdesigne_80584_model
OM Стол Консоль BERN Aрхипелаго,Мебель,Консоль,"Металл, Камень",Классический,130 см,36 см,85 см,"rgb(0, 0, 0)",https://3ddd.ru/3dmodels/show/om_stol_konsol_bern_arkhipelago
Консоль,Мебель,Консоль,Металл,Современный,,,,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/konsol_222
OM Медиа-консоль со стеклянными дверцами 180 Сент-Джеймс,Мебель,Консоль,Дерево,Классический,180 см,55 см,80 см,"rgb(120, 60, 0)",https://3ddd.ru/3dmodels/show/om_media_konsol_so_stekliannymi_dvertsami_180_sent_dzheims_1
ОМ - Кресло Каст кожаное,Мебель,Кресла,"Металл, Кожа",Современный,810 см,770 см,850 см,,https://3ddd.ru/3dmodels/show/om_kreslo_kast_kozhanoe
ОМ - Кресло Лаппхунд,Мебель,Кресла,"Ткань, Мех",Современный,1400 см,1200 см,720 см,,https://3ddd.ru/3dmodels/show/om_kreslo_lappkhund
ОМ - Кресло Каст тканевое,Мебель,Кресла,"Металл, Ткань",Современный,800 см,770 см,870 см,,https://3ddd.ru/3dmodels/show/om_kreslo_kast_tkanevoe
Стул «Василий» из кожи,Мебель,Кресла,"Металл, Кожа",Современный,760 см,760 см,650 см,"rgb(0, 0, 0)",https://3ddd.ru/3dmodels/show/stul_vasilii_iz_kozhi
"Beth, кресло для лаунж",Мебель,Кресла,"Металл, Ткань",Современный,,,,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/beth_kreslo_dlia_launzh
Bridge bed,Мебель,Кровати,Ткань,Современный,,,,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/bridge_bed_1
Barolo кровать Como Casa,Мебель,Кровати,Ткань,Современный,236 см,200 см,100 см,,https://3ddd.ru/3dmodels/show/barolo_krovat_como_casa_1
ОМ кровать KRISTIE mebel HILTON,Мебель,Кровати,Ткань,Современный,250 см,210 см,75 см,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/om_krovat_kristie_mebel_hilton
Кровать Brooklyn,Мебель,Кровати,Ткань,Современный,216 см,206 см,100 см,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/krovat_brooklyn_3
Todi кровать от Como Casa,Мебель,Кровати,"Металл, Ткань",Современный,225 см,200 см,950 см,,https://3ddd.ru/3dmodels/show/todi_krovat_ot_como_casa
OM Mayer S243 компьютерное офисное кресло,Мебель,Офисная мебель,Ткань,Современный,,,,"rgb(0, 0, 0)",https://3ddd.ru/3dmodels/show/om_mayer_s243_kompiuternoe_ofisnoe_kreslo
KANT. Письменный стол производства Tohma,Мебель,Офисная мебель,Дерево,Современный,138 см,51 см,78 см,,https://3ddd.ru/3dmodels/show/kant_pismennyi_stol_proizvodstva_tohma_1
TESLA. Компьютерный стол производства Tohma,Мебель,Офисная мебель,"Дерево, Кожа",Современный,142 см,64 см,78 см,,https://3ddd.ru/3dmodels/show/tesla_kompiuternyi_stol_proizvodstva_tohma
GRIN Письменный стол производства Tohma,Мебель,Офисная мебель,"Металл, Дерево",Современный,120 см,70 см,82 см,,https://3ddd.ru/3dmodels/show/grin_pismennyi_stol_proizvodstva_tohma
